timestamp,open,high,low,close,volume
14-01-2005,44.5,46.7,39.5,40,72040
20-01-2005,40,42.5,37.5,38.65,24453
28-01-2005,41,41,36.7,39.1,30601
04-02-2005,40.8,44.15,39.25,42.1,132961
11-02-2005,43.5,45,40.65,42.05,92191
18-02-2005,43.7,43.7,39,40.05,51026
25-02-2005,39.3,43.9,39.3,39.85,152918
04-03-2005,40.5,48.4,38.5,45.1,213597
11-03-2005,45.05,46,41.15,41.7,72295
18-03-2005,41.3,42.3,38.5,38.95,45579
24-03-2005,40,40,33.75,34.1,26787
01-04-2005,33.5,37.8,32,37.2,57688
08-04-2005,34.5,39.5,33.5,37.1,42317
15-04-2005,37,39.65,33,36.1,13883
22-04-2005,30.05,36.75,30.05,35.75,12574
29-04-2005,36,36.75,34.1,34.75,19440
06-05-2005,35.9,38.25,34,37.65,36780
13-05-2005,39.3,42.9,36.5,42.1,164822
20-05-2005,42.9,52.2,40.05,46.95,1456302
27-05-2005,47.65,51,43.1,43.35,288125
03-06-2005,44,47.55,40,43.85,200917
10-06-2005,40,46.5,40,44.65,173081
17-06-2005,45.5,53.35,45.5,46.05,1450780
24-06-2005,47,50,44.5,46.7,306464
01-07-2005,46.3,50,42.5,45.2,257978
08-07-2005,46.45,54.5,46,50.75,1241370
15-07-2005,51.75,52.9,48.1,48.45,263668
22-07-2005,49.5,51,48,48.7,114846
29-07-2005,50.8,50.8,46.3,46.9,57581
05-08-2005,46.1,51.3,45.7,49.95,111775
12-08-2005,50,52,46,49.3,120501
19-08-2005,50,51.25,47.55,48.85,67335
26-08-2005,50.5,52,39.4,50.8,102645
02-09-2005,51,62.45,51,61.65,554801
09-09-2005,63.95,67,56.1,57.05,157413
16-09-2005,58,58,53.1,57.3,125056
23-09-2005,60,60,47.3,47.3,109624
30-09-2005,49,49.65,44,44.1,92524
07-10-2005,45.75,49,43,43.9,54027
14-10-2005,43.1,44.8,41.15,41.2,31956
21-10-2005,41.85,41.85,32.9,34,52848
28-10-2005,35,37,33.25,34.25,20711
02-11-2005,33.3,36.65,33,35,7215
11-11-2005,34.7,38,34.7,36.3,20007
18-11-2005,37.2,38,36.35,37.05,10228
25-11-2005,37.65,41.75,36.75,40.3,47496
02-12-2005,40.5,41.45,39.1,40.1,60712
09-12-2005,40,45.2,40,45.2,58262
16-12-2005,47.25,52.25,46,47.15,413079
23-12-2005,49.5,49.5,44.5,45.3,92870
30-12-2005,43.5,44.5,40,41.9,57736
06-01-2006,42.45,45.45,41.4,42.6,88550
13-01-2006,42.1,43.9,40,41.45,87381
20-01-2006,40.8,43.5,40,41.7,99628
27-01-2006,41.6,45.5,41.5,43.65,90029
03-02-2006,42.8,43.35,37.65,38.3,42239
10-02-2006,39,43,38.85,41.3,40680
17-02-2006,41.1,42.95,38.6,38.9,70713
24-02-2006,40.4,40.4,35.15,37.05,43025
03-03-2006,38,40,35.65,39,62625
10-03-2006,39.3,40.5,36.3,36.45,65156
17-03-2006,36.15,37.25,33.3,33.8,67577
24-03-2006,34.7,38.45,33.5,34.35,103895
31-03-2006,35.35,35.9,32.05,34.7,70366
07-04-2006,35.8,41.8,35,38.75,95276
13-04-2006,41.8,41.8,34.8,35.25,96312
21-04-2006,35.95,37,34,34.9,53073
28-04-2006,34.15,36.35,34.15,34.95,35190
05-05-2006,36,40.5,35.4,37.9,88875
12-05-2006,37.95,42.9,37,38.15,153329
19-05-2006,37.35,39.2,31.35,31.85,46369
26-05-2006,31.25,33,27,31.85,35107
02-06-2006,33,33,25.6,26.95,35644
09-06-2006,26.8,27.75,20.2,22.65,55789
16-06-2006,22.7,23.5,19.8,22.5,39175
23-06-2006,25.75,25.75,23,24.15,21136
30-06-2006,23.1,24.9,21.55,22.25,9356
07-07-2006,26.7,26.7,22.25,22.85,16343
14-07-2006,22.5,23,21.15,22.55,74381
21-07-2006,22.8,23.1,20.1,20.55,23511
28-07-2006,20.25,20.45,19.35,20.25,18653
04-08-2006,20.2,20.8,19.45,19.8,41578
11-08-2006,19.5,20.5,19.2,19.75,83912
18-08-2006,20,25,18.1,22.65,1661444
25-08-2006,23.4,26.15,23,23.85,518849
01-09-2006,24,24.3,21.7,22.75,77834
08-09-2006,22.75,23.7,22.15,22.85,56596
15-09-2006,22.7,23.1,21,22.4,72185
22-09-2006,22.15,24.8,22,22.45,248222
29-09-2006,22.05,31.4,21.85,28.15,2954494
06-10-2006,28,28.7,25.3,25.8,165727
13-10-2006,25.5,27,23.5,24.1,90827
20-10-2006,23.5,25,22.9,23.45,43789
23-10-2006,23.6,23.8,22.85,23.25,9583
27-10-2006,23.05,23.85,22.9,23,22180
03-11-2006,23.5,23.75,21.5,22.8,102870
10-11-2006,23.5,26.3,23.3,24.05,102540
17-11-2006,23,24.9,22,22,74694
24-11-2006,21.8,24.7,21.55,24.7,83921
01-12-2006,25.9,30.7,25,27.95,461071
08-12-2006,28.95,29.3,25.25,27.4,195781
15-12-2006,26.9,29.35,24,26.95,157389
22-12-2006,27.15,27.65,25.05,26.9,85148
29-12-2006,27.6,27.6,26,26.1,51173
05-01-2007,26.2,29.9,26.05,29.2,139335
12-01-2007,29.9,32.95,28.9,30.5,616745
19-01-2007,32,32,28,29.05,105990
25-01-2007,31,31,27.1,28.1,40928
02-02-2007,28.5,31.95,26.65,29.65,144147
09-02-2007,30,31.85,27.6,28,128914
15-02-2007,27.2,27.9,23,26.95,92609
23-02-2007,27.5,39.8,26,32.55,2711171
02-03-2007,32.55,34.8,30.25,31.3,505939
09-03-2007,31.3,31.3,26.1,27.85,241315
16-03-2007,28.45,28.95,26.5,27.9,76104
23-03-2007,27.1,28.75,26.55,27.75,96319
30-03-2007,28.25,28.35,26.35,27.8,36681
05-04-2007,27,29.5,27,29.15,48930
13-04-2007,29.25,32.4,29.1,32.35,81782
20-04-2007,33.8,33.8,31.15,31.5,88546
27-04-2007,31.5,33.45,30.3,31.8,56271
30-04-2007,31.1,32,31.1,31.7,3184
04-05-2007,32,33.6,31,33.6,36026
11-05-2007,34.8,38.85,33.75,36,204453
18-05-2007,36.25,38.3,35,38.3,187353
25-05-2007,40.05,42.9,40,42.65,351990
01-06-2007,44,49.25,43.1,45.65,297000
08-06-2007,47.9,49.6,45.05,49.6,369249
15-06-2007,52,52.05,46.2,46.55,285364
22-06-2007,47,50.9,44.75,49.1,277912
29-06-2007,48.7,59.2,48.7,54.15,428282
06-07-2007,53.65,57.8,51.5,55.7,229399
13-07-2007,56,58.95,49.55,50.4,375186
20-07-2007,51,51,44,45,314770
27-07-2007,45.35,45.35,40,40.1,220183
03-08-2007,41,57.85,41,55.9,1173390
10-08-2007,53.25,61.5,53.15,61.3,1616850
17-08-2007,62.45,67.45,57.45,57.55,875433
24-08-2007,59,60.4,51.55,54.95,417025
31-08-2007,56.6,61.9,56.45,61.3,439738
07-09-2007,62.3,65.5,57.25,64.45,554815
14-09-2007,63.95,74.85,63.95,67.15,975827
21-09-2007,68.3,70,62.35,65.95,527820
28-09-2007,67.2,74.45,65,73.3,1081958
05-10-2007,74.6,77.4,67.55,71.4,713452
12-10-2007,72.8,75,64.45,65.65,589328
19-10-2007,66.3,67.85,54.55,57.35,250501
26-10-2007,53.55,66.5,53.55,64.95,291519
02-11-2007,65.5,69.9,60.15,63.35,238525
08-11-2007,63.5,64.5,55.5,58.3,89889
16-11-2007,57.8,69.9,57.75,67.75,453206
23-11-2007,69.9,75,62,65.1,439538
30-11-2007,68,71.4,64.5,66.25,239559
07-12-2007,67.65,89.3,67.65,87.9,1953296
14-12-2007,88.95,97,82.6,93.5,1650825
20-12-2007,93.4,94.45,84.9,85.55,517939
28-12-2007,89.8,118.5,88.9,107.55,1936367
04-01-2008,109.95,129.8,109.5,119.1,1343444
11-01-2008,119.9,127.25,95,101.05,606727
18-01-2008,100.1,142,100.1,112.4,2126510
25-01-2008,110,112,72.25,84.7,294917
01-02-2008,84.4,99,81,86.35,279834
08-02-2008,88,91.8,81,82.1,121614
15-02-2008,83.8,83.9,67.05,75.6,146222
22-02-2008,77,79.35,67.1,68.45,97048
29-02-2008,68,76.95,65.35,72.25,122309
07-03-2008,69.2,71.9,60.05,60.05,64853
14-03-2008,58.8,65.8,52.5,55.2,315614
19-03-2008,52.65,54.5,45.1,47.4,113487
28-03-2008,48.9,53.5,43.4,53.5,334335
04-04-2008,55,60.45,53.05,56.2,179378
11-04-2008,55.05,68.7,54.95,63.5,127534
17-04-2008,61.9,63.05,59.55,62.15,96719
25-04-2008,62.75,66.85,61.35,66.05,88609
02-05-2008,69,69,62,62.85,48051
09-05-2008,63.5,64.25,55.1,56.1,51092
16-05-2008,57,58.1,52,56,45172
23-05-2008,55.4,59,54.55,56.15,46068
30-05-2008,55,57.8,54.15,55.05,34678
06-06-2008,53.5,55.75,48.15,51,43275
13-06-2008,48.95,54.25,44.1,50.55,49895
20-06-2008,51.5,57,48.65,49.4,49817
27-06-2008,51,51.65,41.05,45.35,84459
04-07-2008,48.95,54,45,47.55,137211
11-07-2008,49,54.4,48,48.85,64035
18-07-2008,48.55,49.8,43.55,46.1,179215
25-07-2008,49.4,52,45.75,48.75,63358
01-08-2008,49.5,60.4,47.25,55.95,216476
08-08-2008,55,58.8,52.5,54.75,167174
14-08-2008,54.55,58.55,52,52.25,90119
22-08-2008,53.6,54.5,48.2,50.6,117001
29-08-2008,50.1,53.4,46.6,47.25,46984
